benchmark,strategy,sub_dataset,n,metric,value,source_csv
D.LRU (judge),a_mem,infbench_sum_eng_shots2,100,mean_fluency,1.0,results/d_lru_a_mem_judge_scores.csv
D.LRU (judge),a_mem,infbench_sum_eng_shots2,100,mean_recall,0.036,results/d_lru_a_mem_judge_scores.csv
D.LRU (judge),a_mem,infbench_sum_eng_shots2,100,mean_precision,0.1274,results/d_lru_a_mem_judge_scores.csv
D.LRU (judge),a_mem,infbench_sum_eng_shots2,100,mean_f1,0.0192,results/d_lru_a_mem_judge_scores.csv
D.LRU (judge),a_mem,detective_qa,71,accuracy,0.4085,results/d_lru_a_mem_judge_scores.csv
D.LRU (judge),no_memoria,detective_qa,71,accuracy,0.338,results/d_lru_judge_scores.csv
D.LRU (judge),no_memoria,infbench_sum_eng_shots2,100,mean_fluency,1.0,results/d_lru_judge_scores.csv
D.LRU (judge),no_memoria,infbench_sum_eng_shots2,100,mean_recall,0.0313,results/d_lru_judge_scores.csv
D.LRU (judge),no_memoria,infbench_sum_eng_shots2,100,mean_precision,0.0765,results/d_lru_judge_scores.csv
D.LRU (judge),no_memoria,infbench_sum_eng_shots2,100,mean_f1,0.0074,results/d_lru_judge_scores.csv
LongMemEval Oracle,a_mem,knowledge-update,78,accuracy,0.884615,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,a_mem,multi-session,133,accuracy,0.413534,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,a_mem,single-session-assistant,56,accuracy,0.839286,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,a_mem,single-session-preference,30,accuracy,0.933333,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,a_mem,single-session-user,70,accuracy,0.914286,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,a_mem,temporal-reasoning,133,accuracy,0.406015,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,a_mem,GLOBAL,500,accuracy,0.634,results/longmemeval_longmemeval_oracle_a_mem_scores.csv
LongMemEval Oracle,no_memoria,knowledge-update,78,accuracy,0.320513,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
LongMemEval Oracle,no_memoria,multi-session,133,accuracy,0.12782,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
LongMemEval Oracle,no_memoria,single-session-assistant,56,accuracy,0.142857,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
LongMemEval Oracle,no_memoria,single-session-preference,30,accuracy,0.766667,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
LongMemEval Oracle,no_memoria,single-session-user,70,accuracy,0.128571,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
LongMemEval Oracle,no_memoria,temporal-reasoning,133,accuracy,0.142857,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
LongMemEval Oracle,no_memoria,GLOBAL,500,accuracy,0.202,results/longmemeval_longmemeval_oracle_no_memory_scores.csv
D.AR,a_mem,eventqa_131072,500,exact_match,0.148,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_131072,500,substring_exact_match,0.204,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_131072,500,f1,0.3458010867416996,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_131072,500,rougeL_f1,0.36201420194171463,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_131072,500,rougeL_recall,0.3741572216569123,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_131072,500,rougeLsum_f1,0.36201420194171463,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_131072,500,rougeLsum_recall,0.3741572216569123,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,exact_match,0.174,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,substring_exact_match,0.238,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,f1,0.36201182673984383,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,rougeL_f1,0.374766476236571,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,rougeL_recall,0.3881798990569117,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,rougeLsum_f1,0.374766476236571,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_65536,500,rougeLsum_recall,0.3881798990569117,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,exact_match,0.128,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,substring_exact_match,0.142,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,f1,0.2959392390822289,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,rougeL_f1,0.3110654877505748,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,rougeL_recall,0.32239815519018317,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,rougeLsum_f1,0.3110654877505748,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,eventqa_full,500,rougeLsum_recall,0.32239815519018317,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,exact_match,0.02,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,substring_exact_match,0.19666666666666666,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,f1,0.1439438663482934,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,rougeL_f1,0.14451686136187558,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,rougeL_recall,0.36609561869272916,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,rougeLsum_f1,0.146698425054899,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,longmemeval_s*,300,rougeLsum_recall,0.3728718286643015,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,exact_match,0.15,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,substring_exact_match,0.55,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,f1,0.3048558175796568,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,rougeL_f1,0.31077527111466907,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,rougeL_recall,0.6298333333333335,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,rougeLsum_f1,0.31077527111466907,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa1_197K,100,rougeLsum_recall,0.6298333333333335,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,exact_match,0.08,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,substring_exact_match,0.38,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,f1,0.1969921166726358,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,rougeL_f1,0.19666947630462936,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,rougeL_recall,0.47858333333333325,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,rougeLsum_f1,0.19666947630462936,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,ruler_qa2_421K,100,rougeLsum_recall,0.47858333333333325,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,exact_match,0.127,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,substring_exact_match,0.222,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,f1,0.29762201480580175,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,rougeL_f1,0.30901130805746135,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,rougeL_recall,0.3815189951132445,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,rougeLsum_f1,0.30933854261141486,results/runs/d_ar_a_mem_scores.csv
D.AR,a_mem,GLOBAL (weighted),2000,rougeLsum_recall,0.3825354266089803,results/runs/d_ar_a_mem_scores.csv
D.AR,no_memoria,eventqa_131072,500,exact_match,0.092,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,eventqa_131072,500,substring_exact_match,0.108,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,eventqa_131072,500,f1,0.23582152937017797,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,eventqa_131072,500,rougeL_f1,0.25089246350912775,results/runs/d_ar_nomemoria_scores.csv
