benchmark,sub_dataset,metric,n,a_mem,no_memoria,delta_a_mem_minus_no_memoria
D.AR,GLOBAL (weighted),exact_match,2000,0.127,0.0885,0.038500000000000006
D.AR,GLOBAL (weighted),f1,2000,0.29762201480580175,0.215222774898091,0.08239923990771075
D.AR,GLOBAL (weighted),rougeL_f1,2000,0.30901130805746135,0.2250177748561032,0.08399353320135816
D.AR,GLOBAL (weighted),rougeL_recall,2000,0.3815189951132445,0.27064738428719726,0.11087161082604724
D.AR,GLOBAL (weighted),rougeLsum_f1,2000,0.30933854261141486,0.22552552954789004,0.08381301306352482
D.AR,GLOBAL (weighted),rougeLsum_recall,2000,0.3825354266089803,0.2715804494985132,0.11095497711046715
D.AR,GLOBAL (weighted),substring_exact_match,2000,0.222,0.1345,0.0875
D.AR,eventqa_131072,exact_match,500,0.148,0.092,0.055999999999999994
D.AR,eventqa_131072,f1,500,0.3458010867416996,0.23582152937017797,0.10997955737152165
D.AR,eventqa_131072,rougeL_f1,500,0.36201420194171463,0.25089246350912775,0.11112173843258688
D.AR,eventqa_131072,rougeL_recall,500,0.3741572216569123,0.26128704808263625,0.11287017357427603
D.AR,eventqa_131072,rougeLsum_f1,500,0.36201420194171463,0.25089246350912775,0.11112173843258688
D.AR,eventqa_131072,rougeLsum_recall,500,0.3741572216569123,0.26128704808263625,0.11287017357427603
D.AR,eventqa_131072,substring_exact_match,500,0.204,0.108,0.09599999999999999
D.AR,eventqa_65536,exact_match,500,0.174,0.124,0.04999999999999999
D.AR,eventqa_65536,f1,500,0.36201182673984383,0.26904141839113066,0.09297040834871317
D.AR,eventqa_65536,rougeL_f1,500,0.374766476236571,0.2795279908753069,0.09523848536126411
D.AR,eventqa_65536,rougeL_recall,500,0.3881798990569117,0.2915733023512436,0.09660659670566807
D.AR,eventqa_65536,rougeLsum_f1,500,0.374766476236571,0.2795279908753069,0.09523848536126411
D.AR,eventqa_65536,rougeLsum_recall,500,0.3881798990569117,0.2915733023512436,0.09660659670566807
D.AR,eventqa_65536,substring_exact_match,500,0.238,0.152,0.086
D.AR,eventqa_full,exact_match,500,0.128,0.134,-0.006000000000000005
D.AR,eventqa_full,f1,500,0.2959392390822289,0.299067983131256,-0.003128744049027077
D.AR,eventqa_full,rougeL_f1,500,0.3110654877505748,0.3132734484773893,-0.0022079607268145063
D.AR,eventqa_full,rougeL_recall,500,0.32239815519018317,0.32385967741408933,-0.0014615222239061643
D.AR,eventqa_full,rougeLsum_f1,500,0.3110654877505748,0.3132734484773893,-0.0022079607268145063
D.AR,eventqa_full,rougeLsum_recall,500,0.32239815519018317,0.32385967741408933,-0.0014615222239061643
D.AR,eventqa_full,substring_exact_match,500,0.142,0.156,-0.014000000000000012
D.AR,longmemeval_s*,exact_match,300,0.02,0.0,0.02
D.AR,longmemeval_s*,f1,300,0.1439438663482934,0.04821279576675914,0.09573107058153427
D.AR,longmemeval_s*,rougeL_f1,300,0.14451686136187558,0.04454826441031436,0.09996859695156121
D.AR,longmemeval_s*,rougeL_recall,300,0.36609561869272916,0.1320391292579802,0.23405648943474897
D.AR,longmemeval_s*,rougeLsum_f1,300,0.146698425054899,0.047933295688893464,0.09876512936600554
D.AR,longmemeval_s*,rougeLsum_recall,300,0.3728718286643015,0.1382595640000864,0.23461226466421511
D.AR,longmemeval_s*,substring_exact_match,300,0.19666666666666666,0.043333333333333335,0.15333333333333332
D.AR,ruler_qa1_197K,exact_match,100,0.15,0.02,0.13
D.AR,ruler_qa1_197K,f1,100,0.3048558175796568,0.0670357308771734,0.2378200867024834
D.AR,ruler_qa1_197K,rougeL_f1,100,0.31077527111466907,0.0685801820044302,0.24219508911023888
D.AR,ruler_qa1_197K,rougeL_recall,100,0.6298333333333335,0.2857063492063492,0.3441269841269843
D.AR,ruler_qa1_197K,rougeLsum_f1,100,0.31077527111466907,0.0685801820044302,0.24219508911023888
D.AR,ruler_qa1_197K,rougeLsum_recall,100,0.6298333333333335,0.2857063492063492,0.3441269841269843
D.AR,ruler_qa1_197K,substring_exact_match,100,0.55,0.23,0.32000000000000006
D.AR,ruler_qa2_421K,exact_match,100,0.08,0.0,0.08
D.AR,ruler_qa2_421K,f1,100,0.1969921166726358,0.07312672532154495,0.12386539135109086
D.AR,ruler_qa2_421K,rougeL_f1,100,0.19666947630462936,0.07966100757757007,0.11700846872705929
D.AR,ruler_qa2_421K,rougeL_recall,100,0.47858333333333325,0.3475238095238095,0.13105952380952374
D.AR,ruler_qa2_421K,rougeLsum_f1,100,0.19666947630462936,0.07966100757757007,0.11700846872705929
D.AR,ruler_qa2_421K,rougeLsum_recall,100,0.47858333333333325,0.3475238095238095,0.13105952380952374
D.AR,ruler_qa2_421K,substring_exact_match,100,0.38,0.25,0.13
D.CR,GLOBAL (weighted),exact_match,800,0.1025,0.02375,0.07874999999999999
D.CR,GLOBAL (weighted),f1,800,0.12244881569196257,0.05763456479600469,0.06481425089595788
D.CR,GLOBAL (weighted),rougeL_f1,800,0.1226584666938802,0.05757059315059489,0.06508787354328531
D.CR,GLOBAL (weighted),rougeL_recall,800,0.17460416666666667,0.14731249999999996,0.027291666666666714
D.CR,GLOBAL (weighted),rougeLsum_f1,800,0.1226584666938802,0.05757059315059489,0.06508787354328531
